Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
226,MONO-0084,MONO,39.353369,-77.40528783,Wood Thrush,Eastern Wood-Pewee,Carolina Wren,Brown-headed Cowbird,Blue Jay
227,MONO-0091,MONO,39.35111829,-77.40521062,Wood Thrush,Eastern Tufted Titmouse,Blue Jay,Eastern Wood-Pewee,Great Crested Flycatcher
228,MONO-0101,MONO,39.34910675,-77.39353794,Indigo Bunting,Cedar Waxwing,Northern Cardinal,Carolina Wren,Blue Jay
229,MONO-0105,MONO,39.34691563,-77.39056232,Northern Cardinal,Indigo Bunting,Blue Jay,Carolina Wren,Downy Woodpecker
230,MONO-0106,MONO,39.34466489,-77.39048559,Wood Thrush,Northern Cardinal,Blue Jay,Eastern Wood-Pewee,Eastern Tufted Titmouse
231,NACE-0080,NACE,38.98890583,-76.89357855,Eastern Tufted Titmouse,American Goldfinch,Ovenbird,Scarlet Tanager,Blue-gray Gnatcatcher
232,NACE-0081,NACE,38.98895263,-76.89069347,Carolina Wren,Eastern Tufted Titmouse,Northern Cardinal,Blue Jay,Pine Warbler
233,NACE-0086,NACE,38.98660735,-76.89640353,Eastern Tufted Titmouse,American Robin,American Goldfinch,Northern Cardinal,Blue Jay
234,NACE-0087,NACE,38.98665422,-76.89351854,Eastern Tufted Titmouse,Acadian Flycatcher,Blue Jay,Northern Cardinal,Carolina Wren
235,NACE-0094,NACE,38.98430881,-76.89922832,Eastern Tufted Titmouse,Northern Cardinal,Red-eyed Vireo,American Robin,Blue-gray Gnatcatcher
236,NACE-0107,NACE,38.9822445,-76.88762892,Red-eyed Vireo,Wood Thrush,Eastern Towhee,Eastern Tufted Titmouse,Northern Cardinal
237,NACE-0131,NACE,38.97530238,-76.89898765,Eastern Towhee,Eastern Tufted Titmouse,Blue Jay,Carolina Wren,American Goldfinch
238,NACE-0233,NACE,38.88179335,-76.96854449,European Starling,Northern Cardinal,Chimney Swift,Blue-gray Gnatcatcher,Carolina Wren
239,NACE-0245,NACE,38.87973553,-76.95696018,Northern Cardinal,American Robin,Eastern Tufted Titmouse,Carolina Wren,Acadian Flycatcher
240,NACE-0253,NACE,38.87753221,-76.95401794,American Robin,Eastern Tufted Titmouse,Northern Cardinal,Wood Thrush,Downy Woodpecker
241,NACE-0267,NACE,38.87312533,-76.948134,American Robin,Northern Cardinal,Cedar Waxwing,Carolina Wren,Brown-headed Cowbird
242,NACE-0269,NACE,38.87322132,-76.94237338,Carolina Wren,Acadian Flycatcher,Red-eyed Vireo,Northern Cardinal,American Robin
243,NACE-0282,NACE,38.86612942,-76.96234963,American Robin,Wood Thrush,Eastern Towhee,Carolina Wren,Eastern Wood-Pewee
244,NACE-0296,NACE,38.85918056,-76.97368274,American Robin,Northern Cardinal,European Starling,House Sparrow,Carolina Wren
245,NACE-0346,NACE,38.81581246,-77.00703619,Carolina Wren,Northern Cardinal,American Robin,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
246,NACE-0350,NACE,38.81111104,-77.01842055,Carolina Wren,Northern Cardinal,Indigo Bunting,Red-winged Blackbird,Common Grackle
247,NACE-0398,NACE,38.716298,-77.03012648,Blue Jay,Northern Cardinal,Common Grackle,Red-bellied Woodpecker,Eastern Tufted Titmouse
248,NACE-0399,NACE,38.71634788,-77.02725262,Blue Jay,Northern Cardinal,Carolina Wren,Eastern Tufted Titmouse,Red-bellied Woodpecker
249,NACE-0416,NACE,38.70504033,-77.02980799,Eastern Tufted Titmouse,Blue Jay,Carolina Wren,Northern Cardinal,Red-bellied Woodpecker
250,NACE-0438,NACE,38.6954812,-77.06115637,Northern Cardinal,Carolina Wren,Common Grackle,Eastern Tufted Titmouse,Canada Goose
251,NACE-0453,NACE,38.69328032,-77.05821885,Northern Cardinal,Eastern Tufted Titmouse,Red-eyed Vireo,Carolina Wren,American Crow
252,NACE-0468,NACE,38.69403115,-77.01512481,Northern Cardinal,Acadian Flycatcher,Carolina Chickadee,Carolina Wren,Eastern Tufted Titmouse
253,NACE-0477,NACE,38.69112984,-77.05240871,Northern Cardinal,Red-bellied Woodpecker,American Crow,Carolina Wren,Red-winged Blackbird
254,NACE-0487,NACE,38.6916307,-77.02368029,Eastern Tufted Titmouse,Red-eyed Vireo,Acadian Flycatcher,American Crow,Wood Thrush
255,NACE-0491,NACE,38.69182907,-77.01218872,Northern Cardinal,Carolina Wren,American Crow,Eastern Tufted Titmouse,Northern Parula
256,NACE-0519,NACE,38.68952802,-77.01499843,Northern Cardinal,American Crow,Eastern Tufted Titmouse,Carolina Wren,Indigo Bunting
257,NACE-0619,NACE,38.67905655,-77.0980438,Acadian Flycatcher,Red-eyed Vireo,Northern Cardinal,Red-bellied Woodpecker,Carolina Wren
258,NACE-0621,NACE,38.6791595,-77.09229931,Northern Cardinal,Eastern Tufted Titmouse,Red-eyed Vireo,American Crow,Blue-gray Gnatcatcher
259,NACE-0623,NACE,38.67926217,-77.08655478,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Red-eyed Vireo,Eastern Wood-Pewee,Carolina Chickadee
260,NACE-0649,NACE,38.67670187,-77.10372233,Indigo Bunting,Cedar Waxwing,Northern Cardinal,American Crow,Field Sparrow
261,PRWI-0012,PRWI,38.62539286,-77.4267044,Red-eyed Vireo,Canada Goose,Eastern Wood-Pewee,Ovenbird,Eastern Tufted Titmouse
262,PRWI-0014,PRWI,38.62568972,-77.41235706,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Eastern Wood-Pewee,Wood Thrush
263,PRWI-0020,PRWI,38.62326085,-77.42088976,Red-eyed Vireo,Eastern Wood-Pewee,Eastern Tufted Titmouse,Acadian Flycatcher,Ovenbird
264,PRWI-0025,PRWI,38.62355698,-77.40654279,Red-eyed Vireo,Eastern Tufted Titmouse,Ovenbird,Pine Warbler,American Crow
265,PRWI-0028,PRWI,38.62083137,-77.42942186,Red-eyed Vireo,Eastern Wood-Pewee,Ovenbird,Wood Thrush,Acadian Flycatcher
266,PRWI-0039,PRWI,38.61858041,-77.42934589,Red-eyed Vireo,Wood Thrush,Ovenbird,Eastern Wood-Pewee,Acadian Flycatcher
267,PRWI-0041,PRWI,38.61869948,-77.42360753,Red-eyed Vireo,Acadian Flycatcher,Blue-gray Gnatcatcher,Ovenbird,Eastern Wood-Pewee
268,PRWI-0051,PRWI,38.61638902,-77.42640083,Red-eyed Vireo,Ovenbird,Wood Thrush,Acadian Flycatcher,Eastern Tufted Titmouse
269,PRWI-0053,PRWI,38.61650793,-77.42066264,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Wood Thrush,Eastern Tufted Titmouse
270,PRWI-0055,PRWI,38.61662657,-77.41492441,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Scarlet Tanager,Wood Thrush
271,PRWI-0060,PRWI,38.61692193,-77.40057869,Acadian Flycatcher,Red-eyed Vireo,American Crow,Ovenbird,Wood Thrush
272,PRWI-0062,PRWI,38.61703958,-77.39484034,Red-eyed Vireo,Acadian Flycatcher,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Carolina Wren
273,PRWI-0064,PRWI,38.61407849,-77.42919396,Wood Thrush,Red-eyed Vireo,Eastern Wood-Pewee,Acadian Flycatcher,American Robin
274,PRWI-0069,PRWI,38.61437559,-77.41484889,Red-eyed Vireo,Ovenbird,Eastern Tufted Titmouse,Eastern Wood-Pewee,Acadian Flycatcher
275,PRWI-0075,PRWI,38.61472978,-77.39763454,Red-eyed Vireo,Acadian Flycatcher,Eastern Tufted Titmouse,Ovenbird,Blue-gray Gnatcatcher
276,PRWI-0079,PRWI,38.61188709,-77.4262491,Red-eyed Vireo,Wood Thrush,Ovenbird,Acadian Flycatcher,Blue-gray Gnatcatcher
277,PRWI-0080,PRWI,38.61194657,-77.42338018,Red-eyed Vireo,Ovenbird,Blue-gray Gnatcatcher,Acadian Flycatcher,Eastern Tufted Titmouse
278,PRWI-0082,PRWI,38.61206533,-77.41764233,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,Eastern Wood-Pewee,Wood Thrush
279,PRWI-0085,PRWI,38.61224294,-77.40903548,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Wood Thrush,Eastern Tufted Titmouse
280,PRWI-0090,PRWI,38.61253755,-77.39469058,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,American Crow,Eastern Tufted Titmouse
281,PRWI-0093,PRWI,38.61271347,-77.38608353,Red-eyed Vireo,American Robin,American Goldfinch,Northern Cardinal,Eastern Tufted Titmouse
282,PRWI-0096,PRWI,38.60975501,-77.42043558,Red-eyed Vireo,Eastern Tufted Titmouse,Ovenbird,Acadian Flycatcher,Blue-gray Gnatcatcher
283,PRWI-0097,PRWI,38.60981435,-77.41756674,Red-eyed Vireo,Ovenbird,Eastern Tufted Titmouse,Eastern Wood-Pewee,Blue-gray Gnatcatcher
284,PRWI-0120,PRWI,38.60774095,-77.40888486,Red-eyed Vireo,Hooded Warbler,Eastern Tufted Titmouse,Blue-gray Gnatcatcher,Northern Cardinal
285,PRWI-0124,PRWI,38.60797674,-77.39740966,Hooded Warbler,Red-eyed Vireo,Acadian Flycatcher,Eastern Tufted Titmouse,Eastern Wood-Pewee
286,PRWI-0125,PRWI,38.60803551,-77.39454085,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
287,PRWI-0129,PRWI,38.6082699,-77.38306549,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Eastern Wood-Pewee,Ovenbird
