Object,Plot_Name,Unit_Code,Lat,Lng,PC1,PC2,PC3,PC4,PC5
341,PRWI-0446,PRWI,38.58397341,-77.35930324,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Wood Thrush,Eastern Tufted Titmouse
342,PRWI-0447,PRWI,38.58403122,-77.3564353,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Eastern Wood-Pewee,Scarlet Tanager
343,PRWI-0463,PRWI,38.58090571,-77.39937864,Red-eyed Vireo,Ovenbird,Eastern Wood-Pewee,Hooded Warbler,Eastern Tufted Titmouse
344,PRWI-0466,PRWI,38.58108186,-77.3907754,Red-eyed Vireo,Ovenbird,Wood Thrush,Acadian Flycatcher,Eastern Wood-Pewee
345,PRWI-0475,PRWI,38.58160651,-77.36496524,Red-eyed Vireo,Eastern Wood-Pewee,Wood Thrush,Acadian Flycatcher,Blue-gray Gnatcatcher
346,PRWI-0477,PRWI,38.58172232,-77.35922955,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Eastern Tufted Titmouse,Eastern Wood-Pewee
347,PRWI-0480,PRWI,38.58201064,-77.3448902,Red-eyed Vireo,Acadian Flycatcher,Wood Thrush,Eastern Tufted Titmouse,American Robin
348,PRWI-0491,PRWI,38.57847792,-77.4079066,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Hooded Warbler,Scarlet Tanager
349,PRWI-0504,PRWI,38.57923934,-77.37062685,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,American Robin,Blue-gray Gnatcatcher
350,PRWI-0505,PRWI,38.57929742,-77.36775912,Wood Thrush,Acadian Flycatcher,Red-eyed Vireo,Blue-gray Gnatcatcher,Scarlet Tanager
351,PRWI-0508,PRWI,38.57947124,-77.35915587,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Scarlet Tanager,Eastern Tufted Titmouse
352,PRWI-0512,PRWI,38.5799889,-77.33334569,Red-eyed Vireo,Wood Thrush,American Robin,Ovenbird,Eastern Wood-Pewee
353,PRWI-0516,PRWI,38.57610873,-77.41356646,Blue-gray Gnatcatcher,Ovenbird,Carolina Chickadee,Chipping Sparrow,Acadian Flycatcher
354,PRWI-0530,PRWI,38.57693013,-77.37342045,Red-eyed Vireo,Wood Thrush,Acadian Flycatcher,Scarlet Tanager,White-breasted Nuthatch
355,PRWI-0537,PRWI,38.57733567,-77.35334684,Red-eyed Vireo,Ovenbird,Eastern Tufted Titmouse,Carolina Wren,Northern Parula
356,PRWI-0539,PRWI,38.5774509,-77.34761145,Red-eyed Vireo,Acadian Flycatcher,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Eastern Wood-Pewee
357,PRWI-0546,PRWI,38.57391685,-77.41062367,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
358,PRWI-0555,PRWI,38.5744458,-77.38481644,Red-eyed Vireo,Acadian Flycatcher,Eastern Tufted Titmouse,Hooded Warbler,Eastern Wood-Pewee
359,PRWI-0575,PRWI,38.57178387,-77.4048137,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
360,PRWI-0601,PRWI,38.56941484,-77.41047315,Red-eyed Vireo,Ovenbird,Acadian Flycatcher,Eastern Wood-Pewee,Eastern Tufted Titmouse
361,PRWI-0608,PRWI,38.56988522,-77.38753485,Red-eyed Vireo,Acadian Flycatcher,Ovenbird,Blue-gray Gnatcatcher,Eastern Tufted Titmouse
362,PRWI-0620,PRWI,38.57058237,-77.35312641,Red-eyed Vireo,Acadian Flycatcher,Eastern Wood-Pewee,Wood Thrush,Eastern Tufted Titmouse
363,PRWI-0621,PRWI,38.57064001,-77.35025898,Red-eyed Vireo,American Crow,Eastern Tufted Titmouse,Acadian Flycatcher,Northern Parula
364,PRWI-0625,PRWI,38.5669863,-77.41899936,Ovenbird,Hooded Warbler,Red-eyed Vireo,Eastern Wood-Pewee,Acadian Flycatcher
365,PRWI-0641,PRWI,38.56804204,-77.3673895,Acadian Flycatcher,Red-eyed Vireo,Northern Parula,Eastern Tufted Titmouse,Blue-gray Gnatcatcher
366,PRWI-0648,PRWI,38.56844646,-77.34731827,Red-eyed Vireo,Blue-gray Gnatcatcher,Eastern Tufted Titmouse,Acadian Flycatcher,Ovenbird
367,PRWI-0651,PRWI,38.56467599,-77.42179089,Acadian Flycatcher,Ovenbird,Red-eyed Vireo,Hooded Warbler,Wood Thrush
368,PRWI-0653,PRWI,38.56479454,-77.41605679,Ovenbird,Red-eyed Vireo,Eastern Tufted Titmouse,Eastern Wood-Pewee,Hooded Warbler
369,PRWI-0656,PRWI,38.56497186,-77.40745558,Ovenbird,Red-eyed Vireo,Eastern Wood-Pewee,Blue-gray Gnatcatcher,Hooded Warbler
370,PRWI-0660,PRWI,38.56526597,-77.39312006,Red-eyed Vireo,American Crow,Acadian Flycatcher,American Goldfinch,Eastern Tufted Titmouse
