OBJECTID_1,OBJECTID,ASSETNUM,DESCRIPTIO,INSERVICE,LOCATIONDE,ISNFPA,LASTSERVIC,BATTALION,ENGINEID,XCOOR,YCOOR,DCS_LAST_M,lat,lng
145,2115560,H05153,"NPS - HYDRANT, CLOW - EDDY",Y,MADISON DR BET 9TH ST AND 12TH ST NW NORTHSIDE,N,2012-04-23T00:00:00.000Z,6,E-2,397820,135860,2012-06-06T06:00:31.000Z,38.8905852,-77.02512396
167,2121396,H03124,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 6TH ST NW SEC,Y,2012-05-18T00:00:00.000Z,6,E-2,398289,136075,2012-06-06T06:00:31.000Z,38.89252263,-77.01971402
168,2115953,H05829,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,PENNSYLVANIA AV INT CONSTITUTION AVE NW NWC,Y,2012-05-17T00:00:00.000Z,6,E-2,398380,136083,2012-06-06T06:00:31.000Z,38.89259686,-77.01866797
169,2124277,H00554,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,PENNSYLVANIA AVE BET 7TH ST AND 6TH ST NW SOUTHSIDE - IFO 600,Y,2012-05-18T00:00:00.000Z,6,E-2,398194,136108,2012-06-06T06:00:31.000Z,38.89282412,-77.02081747
170,2120620,H09574,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 6TH ST NW NEC,Y,2012-05-17T00:00:00.000Z,6,E-2,398295,136110,2012-06-06T06:00:31.000Z,38.89283631,-77.01965354
171,2121401,H03129,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,PENNSYLVANIA AVE INT 6TH ST NW NWC,Y,2012-05-17T00:00:00.000Z,6,E-2,398256,136124,2012-06-06T06:00:31.000Z,38.89296296,-77.02009946
172,2124250,H00522,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE BET 6TH ST AND 7TH ST NW NORTHSIDE,Y,2012-05-17T00:00:00.000Z,6,E-2,398200,136144,2012-06-06T06:00:31.000Z,38.89314132,-77.02074562
173,2114002,H03786,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 7TH ST NW SWC,Y,2012-04-23T00:00:00.000Z,6,E-2,398073,136152,2012-06-06T06:00:31.000Z,38.89321196,-77.02220537
174,2117677,H07410,"HYDRANT, LORTON - O'BRIEN",Y,E ST EXPY INT INTERSTATE 66 I NW WESTSIDE - WASA POTOMAC PUMPING STATIONS,N,2011-11-17T00:00:00.000Z,6,E-23,395285,136153,2012-06-06T06:00:31.000Z,38.89321412,-77.05434795
175,2117353,H07732,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,ROCK CREEK & POTOMAC PKWY NW EASTSIDE - UNDER INTERSTATE 66,Y,2011-11-17T00:00:00.000Z,6,E-23,395185,136160,2012-06-06T06:00:31.000Z,38.89327831,-77.05549351
176,2120232,H09420,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE INT 7TH ST NW NEC - NPS,Y,2012-05-17T00:00:00.000Z,6,E-2,398124,136170,2012-06-06T06:00:31.000Z,38.89338222,-77.02161781
177,2113942,H03724,"HYDRANT, MUELLER-SUP CENT 250",Y,PENNSYLVANIA AVE BET 9TH ST AND 10TH ST NW SOUTHSIDE,Y,2012-05-17T00:00:00.000Z,6,E-2,397875,136222,2012-06-06T06:00:31.000Z,38.89384781,-77.02449092
178,2121569,H03154,"HYDRANT, US PIPE-MET 250 M94",Y,7TH ST INT INDIANA AVE NW WESTSIDE,N,2012-05-18T00:00:00.000Z,6,E-2,398084,136224,2012-06-06T06:00:31.000Z,38.89386891,-77.02208561
179,2120957,H09693,"HYDRANT, KENNEDY-K81-A/D GUAR",Y,REAR OF 2700 F STREET NW SOUTHSIDE - RAMP FROM ROCK CREEK PKWY TO REAR OF KENNEDY CENTER,Y,2011-11-17T00:00:00.000Z,6,E-23,395148,136238,2012-06-06T06:00:31.000Z,38.89398387,-77.05592289
180,2121394,H03122,"NPS - HYDRANT, MUELLER-SUP CENT 250",Y,9TH ST INT PENNSYLVANIA AVE NW NEC,Y,2012-05-17T00:00:00.000Z,6,E-2,397947,136240,2012-06-06T06:00:31.000Z,38.89401034,-77.02365564
